	year	genre	title	authors	source	set	period
Fe0a7e4c6ab5f	1750	klucht	Het hedendaagsche soldaten leven, kluchtspel		edbo	predictions	enlightenment
Fe2261ffc9608	1784	tragedie/treurspel	Cora, of De Peruanen, treurspel. 	 By J. Nomsz	edbo	predictions	enlightenment
Fe5ba27c960ef	1781	Toneelspel	Clarissa, of De mislukte boosheid, tooneelspel. 	 By L.v. Ollefen	edbo	predictions	enlightenment
Fea3a73500ba3	1791	Toneelspel	Alcest, of De beloonde vaderliefde, tooneelspel. 	 (By Arnoldus Brusse)	edbo	predictions	enlightenment
Feb376834078a	1798	komedie	Spectatoriale schouwburg der nieuwst uitkomende bly- klugt- en zang-spelen van alle natiÃ«n. 	 By een beminnaar van het vaderlandsch tooneel	edbo	predictions	enlightenment
Ff019d344615a	1795	klucht	De vlugt van Willem den Vyfden, of De zegepraal der Bataafsche vryheid. Klugtige opera. 	 By Gerrit Paape	edbo	predictions	enlightenment
Ff1277be87709	1799	Toneelspel	Montoni, of Het kasteel van Udolpho, tooneelspel. 	 By Alexander Duval. , Translated from the French by A. Bruggemans	edbo	predictions	enlightenment
Ff181f3aadced	1795	Toneelspel	De vrijheids-zoonen, tooneelspel		edbo	predictions	enlightenment
Ff48fdcd8588e	1788	tragedie/treurspel	Agis, of de republiek Sparta, treurspel. 	 By Gerrit Paape	edbo	predictions	enlightenment
Ff899faf1f27a	1794	tragedie/treurspel	De vertrouweling, of de gewaande doode, kluchtig treurspel 	 By Tooneelianus van Kleurenrym [pseudonym of Pieter Johannes Uylenbroek]	edbo	predictions	enlightenment
Ffac41d4f3021	1786	tragedie/treurspel	Sebille van Anjou, gemaalinne van Gui van Lusignan, koninginne van Jeruzalem. Treurspel. 	 By Lucretia Wilhelmina van Winter gebooren van Merken	edbo	predictions	enlightenment
Ffc4c9ad7e26b	1786	Toneelspel	De vryheid, toneelspel. 	 By G. Paape	edbo	predictions	enlightenment
Ffd48e027871e	1781	Toneelspel	Frederik de rechtvaardige, tooneelspel. 	 By Jan van Panders	edbo	predictions	enlightenment
